,Close,High,Low,Open,Volume
2025-01-10,300.565673828125,312.12893973162704,298.2728729697039,306.6996597535012,2417600
2025-01-13,305.8857421875,306.1636565117661,299.39445112277286,300.46639771911646,1406700
2025-01-14,303.5135803222656,305.1115802721147,297.9254875413884,303.7220085134649,1055600
2025-01-15,303.9701538085937,307.69223732461734,301.66741753698614,306.47138302682004,1235700
2025-01-16,307.13641357421875,308.4168188057384,301.7964594904486,303.7418600249603,767800
2025-01-17,308.1388854980469,310.580563692593,306.1934547927544,308.5855173254928,1206600
2025-01-21,316.0991516113281,317.32991073962864,309.76664266856096,309.88574448221715,1846000
2025-01-22,317.1314392089844,318.828700748871,309.10166829910696,315.8708742518355,2376900
2025-01-23,322.9378356933594,324.36711800451513,317.9949288001359,321.70707659390445,2915800
2025-01-24,310.7393798828125,323.5532759392757,306.69967143914647,321.5185188444894,3031300
2025-01-27,329.5284118652344,330.1835021019818,311.1562006553657,313.89566341078427,2805800
2025-01-28,326.25299072265625,331.5631381835147,320.91303751932463,330.58051797433853,2498600
2025-01-29,325.1810607910156,328.3870262832168,322.3522712732373,326.25303780152194,1142200
2025-01-30,332.1190185546875,335.15626659239985,326.3026572119112,326.8684211800415,1201700
2025-01-31,327.4540100097656,333.55822067505346,327.42423455443804,331.5532693387491,1254800
2025-02-03,331.8113098144531,337.64754132245326,321.8559788125958,322.4118074999871,1532200
2025-02-04,332.3076171875,333.2009414985888,327.76172566996064,327.76172566996064,1133100
2025-02-05,334.32244873046875,335.48375196890163,331.9403216384716,334.9874742293027,951400
2025-02-06,322.1140441894531,336.724462768658,317.6177688606354,334.3224650638775,2209200
2025-02-07,319.6524963378906,326.09420232541004,318.8187533274918,323.28525321273696,1530000
2025-02-10,315.8907165527344,321.5879753113127,307.14630520284004,320.2182439033392,1632400
2025-02-11,321.3199768066406,321.63757152013403,314.8981420319121,314.8981420319121,1419200
2025-02-12,310.05450439453125,319.7815365692099,308.0098424056074,317.84607144067644,1972100
2025-02-13,319.52349853515625,320.41679247921087,310.74928074754985,312.138882760959,1715000
2025-02-14,313.8559875488281,323.38452705584655,313.58800845011785,319.60289276652986,1451600
2025-02-18,314.3522644042969,317.9552459504999,311.95029690042287,315.7120606814276,1084500
2025-02-19,318.1736145019531,321.33986922737864,313.20090135009576,313.6277232704628,1738400
2025-02-20,319.1065673828125,322.9080413118885,317.32988470052345,317.71699585353093,1545500
2025-02-21,314.0644226074219,320.2182484934049,312.7740822915296,316.66491315414794,1638400
2025-02-24,317.19097900390625,318.6103261466414,314.1537614956462,316.5755994198052,1488400
2025-02-25,330.5904846191406,330.85846371335174,317.7865240701758,318.59049164320066,2908600
2025-02-26,317.5284423828125,331.70213410146147,313.2008845326529,330.59047675731506,2109600
2025-02-27,318.55078125,326.57061678157925,317.48873953977306,319.2852626654807,1788600
2025-02-28,304.0197448730469,306.7790480180424,292.8038795684458,301.7368792840933,3469100
2025-03-03,308.9626770019531,310.0147834161236,305.1115567883979,306.38202662572013,1413600
2025-03-04,309.7269287109375,312.7045951825968,308.0495075086716,309.2108107603902,1321100
2025-03-05,317.25054931640625,318.6500563386157,308.68478969481083,308.68478969481083,1324300
2025-03-06,319.3547668457031,320.2778362913669,315.0173036855904,317.24061855438754,1512500
2025-03-07,327.69219970703125,330.03464649121827,316.79395945544104,318.47135042136665,1869000
