Date,Close,High,Low,Open,Volume
2025-01-10,179.9280548095703,182.7524602870803,179.88881864226417,182.1051982044487,473000
2025-01-13,179.71231079101562,179.95748447558728,177.97647691426843,178.72181449246327,310700
2025-01-14,181.8306121826172,182.35037918866945,181.0166337668225,181.97771040538143,326000
2025-01-15,181.2716064453125,183.03685991460029,180.438024921075,182.68380922074272,416600
2025-01-16,177.97647094726562,178.82968551663492,177.7509153550019,178.01570711544156,422400
2025-01-17,177.2899932861328,177.88821767402982,176.25045925960686,176.7800278331188,432000
2025-01-21,183.32125854492188,183.32125854492188,180.89895633089608,180.89895633089608,330400
2025-01-22,182.919174194336,183.8802507817757,182.80148065817068,183.3899034463576,247800
2025-01-23,182.67401123046875,183.0957027808152,181.4775624648053,182.4190210240137,237700
2025-01-24,183.0074462890625,183.84104280492835,181.82079906772827,182.3896038134393,278900
2025-01-27,182.89956665039065,183.44875330343123,182.2327014186168,183.19377806143785,308100
2025-01-28,181.71292114257807,182.80149289866617,180.5949297415321,182.55631921454017,382600
2025-01-29,183.37030029296875,184.4098343344198,182.87995291762653,183.9979443348381,258200
2025-01-30,187.28326416015625,188.0187851698555,186.1064335374801,187.25384451690533,410100
2025-01-31,185.2826385498047,188.13646365755497,184.6549945537145,187.80303105805368,420200
2025-02-03,180.10458374023438,182.2719257086121,177.6430453200438,179.0944693511058,477900
2025-02-04,183.9391021728516,183.9391021728516,182.22288638594355,182.9682239619264,408400
2025-02-05,191.57872009277344,192.8241916165481,188.68565868901987,190.3920728938811,586000
2025-02-06,186.8223419189453,187.90111208369032,185.9985619554384,187.55786295012223,364100
2025-02-07,180.4282073974609,184.07639289237648,179.78096026581872,183.5272062525765,478400
2025-02-10,181.48736572265625,182.77207343447287,181.21277239330067,182.3699999649113,172400
2025-02-11,182.1542358398437,182.66418630086065,180.62433956415325,180.62433956415325,237300
2025-02-12,179.16311645507812,179.97709484868437,178.02550701599853,178.43739699272456,269100
2025-02-13,180.45762634277344,181.5756177020989,179.9182562291954,180.30072656359064,237800
2025-02-14,180.6831970214844,182.1542390723504,179.91825635217114,181.42851960680625,231500
2025-02-18,180.5164794921875,181.1539250575484,180.17323036363103,180.90875138406903,206900
2025-02-19,176.6231231689453,177.80975538749615,176.1327758141889,177.79995382751795,347900
